,Address,City,ZIP,state,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
78,"8197 Londonberry Rd",NASHVILLE,37221.0,TN,36.061061,-86.977806,1,range_interpolation,8197,"Londonberry Rd",,,Nashville,TN,"Davidson County",37221,US,"TIGER/Line® dataset from the US Census Bureau"
79,"1613 Buchanan St",,,TN,36.428005,-88.179868,0.33,place,,,,,Buchanan,TN,"Henry County",38222,US,"TIGER/Line® dataset from the US Census Bureau"
80,"6613 Charlotte Pike",NASHVILLE,37209.0,TN,36.137872,-86.881621,1,rooftop,6613,"Charlotte Pike",,,Nashville,TN,"Davidson County",37209,US,"City of Nashville"
81,"2535 Powell Ave",NASHVILLE,37204.0,TN,36.110129,-86.766991,1,range_interpolation,2535,"Powell Ave",,,Nashville,TN,"Davidson County",37204,US,"TIGER/Line® dataset from the US Census Bureau"
82,"3021 Lealand Ln",NASHVILLE,37204.0,TN,36.119375,-86.787498,1,range_interpolation,3021,"Lealand Ln",,,Nashville,TN,"Davidson County",37204,US,"TIGER/Line® dataset from the US Census Bureau"
83,"2600 Gallatin Pike",NASHVILLE,37216.0,TN,36.196514,-86.742251,1,range_interpolation,2600,"Gallatin Pike",,,Nashville,TN,"Davidson County",37216,US,"TIGER/Line® dataset from the US Census Bureau"
84,"210 Anne Dallas Dudley Blvd",NASHVILLE,37219.0,TN,36.198582,-86.729246,0.6,street_center,,"Ann St",,,Nashville,TN,"Davidson County",37216,US,"TIGER/Line® dataset from the US Census Bureau"
85,"609 Gallatin Pike S",MADISON,37115.0,TN,36.256851,-86.71377,1,rooftop,609,"Gallatin Pike S",,,Madison,TN,"Davidson County",37115,US,"City of Nashville"
86,"2201 Murfreesboro Pike",NASHVILLE,37217.0,TN,36.090814,-86.651103,1,range_interpolation,2201,"Murfreesboro Pike",,,Nashville,TN,"Davidson County",37217,US,"TIGER/Line® dataset from the US Census Bureau"
87,"3711 Bell Rd",NASHVILLE,37214.0,TN,36.152183,-86.62411,1,range_interpolation,3711,"Bell Rd",,,Nashville,TN,"Davidson County",37214,US,"TIGER/Line® dataset from the US Census Bureau"
88,"709 Rivergate Pkwy",GOODLETTSVILLE,37072.0,TN,36.304651,-86.704527,1,rooftop,709,"Rivergate Pkwy",,,Goodlettsville,TN,"Davidson County",37072,US,"City of Nashville"
